cattle-id,price,age,color,breed,weight
BLF1009,89000,2.5 years,Non Red,Local,216 kg
BLF1072,107000,3 years,Red,Sahiwal,258 kg
BLF1282,89000,3 years,Red,Local,216 kg
BLF916,106000,2.5 years,Non Red,Local,262 kg
BLF899,151000,2.5 years,Red,Local,373 kg
BLF879,130000,2.5 years,Red,Sahiwal,321 kg
BLFS239,167000,3 years,Non Red,Holstein Friesian Cross,420 kg
BLF1186,116000,2.5 years,Red,Local,280 kg
BLF1056,102000,2.5 years,Red,Red Chittagong,244 kg
BLF1248,87000,2.5 years,Red,Local,211 kg
BLF1296,95000,3 years,Red,Local,230 kg
BLF1189,107000,2.5 years,Red,Sahiwal,257 kg
BLF1339,134000,2.5 years,Red,Local,325 kg
BLF1040,88000,2.5 years,Non Red,Local,215 kg
BLF904,137000,2.5 years,Non Red,Local,337 kg
BLF989,93000,2.5 years,Non Red,Local,229 kg
BLF1224,83000,2.5 years,Red,Sahiwal,201 kg
BLF964,123000,2.5 years,Red,Local,297 kg
BLF1335,76000,2.5 years,Red,Local,182 kg
BLF1353,75000,2.5 years,Red,Local,181 kg
BLF1059,135000,2.5 years,Red,Local,327 kg
BLF1198,90000,2.5 years,Non Red,Local,223 kg
BLF1206,91000,2.5 years,Red,Local,224 kg
BLFB376,124000,2.5 years,Red,Local,300 kg
BLF947,87000,3 years,Non Red,Local,215 kg
BLF1034,101000,3 years,Red,Local,242 kg
BLF1236,102000,2.5 years,Red,Local,247 kg
BLF1308,81000,2.5 years,Red,Red Chittagong,192 kg
BLF1214,97000,2.5 years,Red,Local,240 kg
BLF965,100000,3 years,Non Red,Local,247 kg
BLF1031,93000,2.5 years,Non Red,Local,230 kg
BLF1188,110000,2.5 years,Red,Sindhi,266 kg
BLF938,117000,3 years,Non Red,Local,287 kg
BLF1228,109000,3 years,Non Red,Local,270 kg
BLF1160,109000,2.5 years,Non Red,Local,270 kg
BLF1272,91000,2.5 years,Red,Local,220 kg
BLF1018,114000,3 years,Red,Local,272 kg
BLF1268,92000,2.5 years,Non Red,Local,225 kg
BLF1204,83000,3 years,Non Red,Local,203 kg
BLF961,130000,3 years,Non Red,Local,322 kg
BLF1132,106000,2.5 years,Red,Local,256 kg
BLF1135,101000,3 years,Red,Local,242 kg
BLF1313,114000,2.5 years,Red,Local,274 kg
BLF1254,118000,3 years,Red,Sahiwal,287 kg
BLF1134,101000,3 years,Red,Local,243 kg
BLF1022,130000,2.5 years,Red,Sahiwal,314 kg
BLF885,95000,2.5 years,Red,Local,232 kg
BLF963,117000,2.5 years,Non Red,Local,281 kg
BLFS265,179000,3 years,Non Red,Holstein Friesian Cross,450 kg
BLF944,105000,3 years,Red,Sindhi,255 kg
BLF1054,104000,2.5 years,Red,Local,250 kg
BLFB367,154000,2.5 years,Red,Sahiwal,373 kg
BLF1105,113000,2.5 years,Red,Local,271 kg
BLF1157,108000,2.5 years,Red,Local,260 kg
BLF1012,85000,2.5 years,Red,Local,204 kg
BLF1016,102000,2.5 years,Non Red,Pabna Breed,250 kg
BLF1124,90000,2.5 years,Red,Local,216 kg
BLF962,97000,2.5 years,Red,Local,232 kg
BLF1080,119000,3 years,Red,Local,288 kg
BLF1142,126000,2.5 years,Red,Sahiwal,304 kg
BLF1014,93000,2.5 years,Non Red,Local,230 kg
BLF982,112000,2.5 years,Non Red,Local,275 kg
BLF862,92000,2 years,Non Red,Mir Kadim,200 kg
BLF1340,95000,3 years,Non Red,Pabna Breed,233 kg
BLF1356,89000,2.5 years,Red,Local,214 kg
BLF933,83000,2.5 years,Non Red,Pabna Breed,201 kg
BLF1245,103000,2.5 years,Red,Local,250 kg
BLF1264,85000,2.5 years,Non Red,Local,210 kg
BLFB272,120000,2.5 years,Red,Red Chittagong,289 kg
BLF882,133000,2.5 years,Red,Sahiwal,325 kg
BLF924,120000,2.5 years,Red,Red Chittagong,287 kg
BLF1079,72000,2.5 years,Red,Local,170 kg
BLF895,127000,2.5 years,Non Red,Local,313 kg
BLF1013,92000,2.5 years,Red,Local,222 kg
BLF898,94000,2.5 years,Red,Red Chittagong,224 kg
BLF1306,98000,2.5 years,Red,Local,238 kg
BLF1063,108000,3 years,Red,Local,260 kg
BLF908,106000,2.5 years,Non Red,Pabna Breed,260 kg
BLF906,111000,3 years,Red,Sahiwal,268 kg
BLF991,99000,2.5 years,Non Red,Local,243 kg
BLF905,146000,2.5 years,Red,Local,358 kg
BLF860,104000,3 years,Red,Sahiwal,256 kg
BLF1153,117000,2.5 years,Red,Sahiwal,282 kg
BLF1017,110000,2.5 years,Red,Local,264 kg
BLF995,78000,4 years,Non Red,Local,191 kg
BLF918,115000,2.5 years,Red,Sahiwal,276 kg
BLF878,133000,2.5 years,Red,Local,322 kg
BLF1078,114000,3 years,Red,Sindhi,275 kg
BLF1076,83000,2.5 years,Red,Local,200 kg
BLF1271,96000,2.5 years,Red,Sindhi,232 kg
BLFS229,172000,3 years,Non Red,Holstein Friesian Cross,433 kg
BLF946,145000,2.5 years,Red,Local,352 kg
BLF1327,95000,2.5 years,Red,Sindhi,230 kg
BLF1314,99000,2.5 years,Red,Local,239 kg
BLF1029,87000,2.5 years,Non Red,Local,216 kg
BLF1106,102000,2.5 years,Red,Red Chittagong,244 kg
BLFS219,205000,2.5 years,Non Red,Holstein Friesian Cross,516 kg
BLF1185,105000,2.5 years,Red,Sindhi,260 kg
BLF1050,102000,2.5 years,Non Red,Local,250 kg
BLF1102,92000,2.5 years,Red,Local,223 kg
BLF997,108000,2.5 years,Red,Local,260 kg
BLF1158,68000,2.5 years,Red,Local,161 kg
BLF1337,78000,3 years,Red,Local,187 kg
BLF987,109000,2.5 years,Non Red,Local,268 kg
BLF1065,126000,2.5 years,Red,Local,305 kg
BLF1060,97000,2.5 years,Red,Local,235 kg
BLF1297,98000,3 years,Red,Local,238 kg
BLF1295,80000,3 years,Red,Local,191 kg
BLF1165,107000,2.5 years,Non Red,Local,265 kg
BLFS1,152000,2 years,Non Red,Holstein Friesian Cross,381 kg
BLF981,92000,2.5 years,Non Red,Local,226 kg
BLF1182,104000,2.5 years,Non Red,Local,257 kg
BLF1090,110000,2.5 years,Red,Local,264 kg
BLF1008,112000,2.5 years,Non Red,Holstein Friesian Cross,280 kg
BLF871,127000,2.5 years,Red,Sahiwal,297 kg
BLF1055,105000,2.5 years,Red,Sahiwal,255 kg
BLF1227,109000,2.5 years,Red,Local,264 kg
BLF1070,107000,2.5 years,Red,Local,258 kg
BLF999,122000,2.5 years,Red,Local,294 kg
BLF1251,109000,2.5 years,Red,Local,263 kg
BLF1154,115000,2.5 years,Red,Sindhi,277 kg
BLF1170,95000,3 years,Non Red,Local,236 kg
BLF1068,124000,2.5 years,Red,Local,300 kg
BLF1108,100000,3 years,Red,Local,241 kg
BLF953,149000,3 years,Non Red,Local,368 kg
BLF1163,80000,3 years,Non Red,Local,195 kg
BLF1073,87000,3 years,Red,Local,210 kg
BLF1162,83000,2.5 years,Red,Local,200 kg
BLF1100,102000,3 years,Red,Local,244 kg
BLF1233,99000,2.5 years,Non Red,Local,245 kg
BLF1039,79000,3 years,Red,Local,190 kg
BLFB379,342000,4 years,Non Red,Holstein Friesian Cross,760 kg
BLF1155,118000,3 years,Non Red,Local,292 kg
BLF1298,84000,3 years,Red,Local,200 kg
BLF1191,119000,2.5 years,Red,Sahiwal,288 kg
BLF1061,108000,2.5 years,Red,Local,260 kg
BLF1071,106000,2.5 years,Red,Local,256 kg
BLF858,128000,3 years,Red,Local,307 kg
BLF1235,97000,3 years,Non Red,Local,240 kg
BLF894,115000,2.5 years,Non Red,Local,281 kg
BLF1166,104000,2.5 years,Non Red,Local,256 kg
BLF1052,89000,3 years,Red,Sindhi,215 kg
BLFS206,172000,3 years,Non Red,Holstein Friesian Cross,432 kg
BLF1047,105000,2.5 years,Red,Sindhi,256 kg
BLF992,110000,3 years,Non Red,Local,270 kg
BLF1005,86000,2.5 years,Non Red,Local,205 kg
BLF865,173000,2.5 years,Red,Sahiwal,415 kg
BLF1113,145000,2.5 years,Red,Sahiwal,358 kg
BLFB289,125000,3 years,Red,Local,300 kg
BLF1169,97000,3 years,Red,Sahiwal,235 kg
BLF1116,112000,2.5 years,Red,Sindhi,272 kg
BLF1167,103000,2.5 years,Red,Sahiwal,250 kg
BLF1168,113000,2.5 years,Red,Local,273 kg
BLF1057,108000,2.5 years,Red,Local,262 kg
BLF1110,107000,2.5 years,Red,Local,260 kg
BLF1130,117000,2.5 years,Red,Local,281 kg
